# window centre latitude, window latitude radius, window centre longitude, window longitude radius, POSIX timestamp
38.0,10.0,284.0,10.0,1777680000
# Number of axes
3
# axis 1: pressures
31
1000.0,975.0,950.0,925.0,900.0,850.0,800.0,750.0,700.0,650.0,600.0,550.0,500.0,450.0,400.0,350.0,300.0,250.0,200.0,150.0,100.0,70.0,50.0,30.0,20.0,10.0,7.0,5.0,3.0,2.0,1.0
# axis 2: latitudes
41
28.00,28.50,29.00,29.50,30.00,30.50,31.00,31.50,32.00,32.50,33.00,33.50,34.00,34.50,35.00,35.50,36.00,36.50,37.00,37.50,38.00,38.50,39.00,39.50,40.00,40.50,41.00,41.50,42.00,42.50,43.00,43.50,44.00,44.50,45.00,45.50,46.00,46.50,47.00,47.50,48.00
# axis 3: longitudes
41
274.00,274.50,275.00,275.50,276.00,276.50,277.00,277.50,278.00,278.50,279.00,279.50,280.00,280.50,281.00,281.50,282.00,282.50,283.00,283.50,284.00,284.50,285.00,285.50,286.00,286.50,287.00,287.50,288.00,288.50,289.00,289.50,290.00,290.50,291.00,291.50,292.00,292.50,293.00,293.50,294.00
# number of lines of data
52111
# data line component count
3
# now the data in axis 3 major order
# data is: geopotential height [gpm], u-component wind [m/s], v-component wind [m/s]
92.54544,-3.20217,-3.75675
91.61744,-2.59217,-3.94675
93.63344,-1.83217,-3.95675
96.35344,-0.00217,-4.24675
97.02544,0.41783,-3.86675
93.12144,1.23783,-3.42675
90.46544,1.49783,-1.63675
91.79344,0.90783,-1.89675
92.67344,-0.19217,-3.34675
90.78544,-3.08217,-5.45675
91.32944,-0.36217,-4.73675
91.88944,0.85783,-4.44675
92.60944,2.05783,-3.94675
93.72944,2.98783,-2.67675
96.17744,4.50783,-1.65675
96.04944,5.23783,1.34325
98.12944,1.81783,4.04325
99.16944,0.79783,3.65325
98.67344,-0.44217,3.41325
98.56144,-1.29217,3.37325
101.00945,-0.96217,4.09325
104.40144,-0.76217,4.47325
107.50544,-0.48217,3.83325
110.44944,-1.60217,3.34325
113.39344,-5.64217,3.15325
115.82544,-6.12217,2.18325
118.75344,-5.41217,1.74325
120.28944,-5.37217,1.09325
123.05744,-4.75217,0.07325
124.60944,-4.15217,-0.87675
125.32944,-3.81217,-1.58675
125.87344,-3.39217,-1.96675
127.69744,-2.46217,-2.30675
128.20944,-1.74217,-2.42675
127.44144,-1.34217,-2.61675
126.97744,-0.81217,-2.83675
126.48144,-0.27217,-3.22675
127.74544,1.00783,-3.80675
127.74544,1.97783,-4.19675
127.26544,2.58783,-4.17675
99.56944,-2.58217,-3.92675
94.96144,-3.33217,-4.67675
95.31344,-3.93217,-5.55675
97.18544,-2.91217,-5.76675
97.98544,-0.58217,-4.04675
100.00144,-0.26217,-5.28675
99.61744,0.57783,-4.92675
96.03344,0.96783,-4.51675
91.05744,0.52783,-4.46675
90.68944,-0.88217,-4.23675
92.19344,-1.64217,-6.39675
92.43344,0.37783,-4.52675
93.00945,2.01783,-3.38675
91.71344,3.29783,-2.34675
94.24144,4.49783,-1.64675
94.72144,5.44783,0.43325
93.28144,4.19783,3.37325
95.66544,2.09783,5.89325
97.55344,-0.01217,4.85325
98.73744,-0.59217,3.76325
96.81744,-1.64217,3.54325
100.92944,-0.95217,3.76325
104.54544,-1.46217,3.85325
107.07344,-4.31217,4.61325
111.21744,-6.14217,4.55325
113.80944,-6.31217,3.84325
116.73744,-6.16217,2.78325
119.23344,-5.49217,1.76325
121.92144,-4.99217,0.62325
123.96944,-4.80217,0.10325
124.65744,-4.75217,-0.37675
125.07344,-4.82217,-1.47675
127.72944,-4.11217,-2.33675
127.58544,-3.80217,-3.05675
128.30544,-3.25217,-3.79675
129.47343,-2.34217,-4.33675
129.04144,-1.73217,-4.75675
128.99344,-0.83217,-5.09675
127.40944,-0.07217,-5.19675
126.08144,0.63783,-5.36675
126.52944,1.48783,-5.65675
97.61744,-1.91217,-4.05675
98.84944,-1.90217,-4.37675
100.72144,-0.93217,-4.43675
101.16944,-1.48217,-4.20675
103.80944,-0.73217,-3.32675
104.60944,0.03783,-2.79675
103.72944,1.54783,-3.17675
101.60144,2.03783,-3.04675
95.68144,1.33783,-2.16675
90.84944,-1.31217,-3.18675
94.91344,-2.20217,-5.11675
95.32944,-0.20217,-4.10675
93.96944,0.80783,-2.48675
92.25744,0.61783,-1.84675
94.48144,1.61783,-1.86675
93.16944,2.78783,0.55325
93.95344,2.49783,3.15325
